#t MKKK MKKK_P MKK MKK_P MKK_PP MAPK MAPK_P MAPK_PP 
##CONCENTRATIONS
0 90 10 280 10 10 280 10 10 
1 89.0736 10.9264 280.053 10.1402 9.80684 279.966 10.1341 9.90002 
2 88.1478 11.8522 280.087 10.2861 9.62736 279.938 10.2622 9.80014 
3 87.2222 12.7778 280.101 10.4378 9.46152 279.915 10.3845 9.70043 
4 86.2964 13.7036 280.096 10.5951 9.30931 279.898 10.5014 9.60098 
5 85.3698 14.6302 280.071 10.758 9.17072 279.885 10.6132 9.50187 
6 84.4423 15.5577 280.028 10.9265 9.0457 279.877 10.7202 9.40321 
7 83.5136 16.4864 279.965 11.1006 8.93426 279.872 10.8226 9.30509 
8 82.5835 17.4165 279.883 11.2803 8.83636 279.872 10.9208 9.20762 
9 81.6517 18.3483 279.782 11.4656 8.75197 279.874 11.0149 9.11091 
10 80.718 19.282 279.662 11.6565 8.68109 279.88 11.1054 9.01507 
11 79.7824 20.2176 279.523 11.853 8.62368 279.887 11.1923 8.92021 
12 78.8448 21.1552 279.365 12.0551 8.57972 279.898 11.276 8.82644 
13 77.905 22.095 279.188 12.263 8.54919 279.909 11.3568 8.73389 
14 76.963 23.037 278.991 12.4765 8.53208 279.923 11.4348 8.64268 
15 76.0188 23.9812 278.776 12.6958 8.52836 279.937 11.5102 8.55291 
16 75.0723 24.9277 278.541 12.9208 8.53802 279.952 11.5834 8.46472 
17 74.1236 25.8764 278.287 13.1516 8.56104 279.967 11.6545 8.37823 
18 73.1726 26.8274 278.014 13.3883 8.59742 279.983 11.7237 8.29355 
19 72.2195 27.7805 277.722 13.6308 8.64714 279.998 11.7913 8.21081 
20 71.2642 28.7358 277.411 13.8792 8.71021 280.012 11.8575 8.13013 
21 70.3069 29.6931 277.08 14.1335 8.78661 280.026 11.9225 8.05163 
22 69.3477 30.6523 276.73 14.3938 8.87637 280.038 11.9864 7.97544 
23 68.3867 31.6133 276.361 14.66 8.97948 280.049 12.0496 7.90167 
24 67.424 32.576 275.972 14.9321 9.09595 280.057 12.1122 7.83045 
25 66.4598 33.5402 275.564 15.2102 9.2258 280.064 12.1744 7.76191 
26 65.4942 34.5058 275.137 15.4942 9.36906 280.067 12.2365 7.69615 
27 64.5275 35.4725 274.69 15.7842 9.52574 280.068 12.2985 7.63331 
28 63.5599 36.4401 274.224 16.0801 9.69587 280.066 12.3608 7.57351 
29 62.5915 37.4085 273.739 16.3819 9.8795 280.06 12.4234 7.51686 
30 61.6227 38.3773 273.234 16.6896 10.0766 280.05 12.4867 7.4635 
31 60.6536 39.3464 272.71 17.0031 10.2873 280.036 12.5508 7.41354 
32 59.6847 40.3153 272.166 17.3223 10.5117 280.017 12.6159 7.3671 
33 58.7161 41.2839 271.603 17.6474 10.7496 279.994 12.6822 7.32431 
34 57.7482 42.2518 271.021 17.9781 11.0013 279.965 12.7498 7.28529 
35 56.7812 43.2188 270.419 18.3144 11.2667 279.931 12.819 7.25017 
36 55.8157 44.1843 269.798 18.6562 11.5458 279.891 12.89 7.21907 
37 54.8518 45.1482 269.158 19.0036 11.8389 279.845 12.963 7.19212 
38 53.8899 46.1101 268.498 19.3562 12.1458 279.793 13.038 7.16944 
39 52.9305 47.0695 267.819 19.7142 12.4667 279.733 13.1154 7.15117 
40 51.974 48.026 267.121 20.0773 12.8015 279.667 13.1953 7.13742 
41 51.0207 48.9793 266.404 20.4455 13.1504 279.594 13.2778 7.12835 
42 50.071 49.929 265.668 20.8186 13.5134 279.513 13.3632 7.12407 
43 49.1255 50.8745 264.913 21.1965 13.8905 279.424 13.4516 7.12473 
44 48.1845 51.8155 264.139 21.5791 14.2818 279.326 13.5433 7.13046 
45 47.2485 52.7515 263.346 21.9664 14.6873 279.22 13.6383 7.1414 
46 46.3179 53.6821 262.535 22.358 15.107 279.105 13.7369 7.15769 
47 45.3933 54.6067 261.705 22.7539 15.541 278.981 13.8391 7.17949 
48 44.475 55.525 260.857 23.154 15.9893 278.848 13.9452 7.20693 
49 43.5636 56.4364 259.99 23.558 16.4519 278.704 14.0554 7.24017 
50 42.6595 57.3405 259.105 23.9659 16.9288 278.551 14.1698 7.27936 
51 41.7632 58.2368 258.203 24.3775 17.4199 278.387 14.2884 7.32466 
52 40.8752 59.1248 257.282 24.7926 17.9254 278.212 14.4116 7.37624 
53 39.996 60.004 256.344 25.211 18.4452 278.026 14.5394 7.43424 
54 39.1261 60.8739 255.388 25.6326 18.9792 277.829 14.6719 7.49885 
55 38.2658 61.7342 254.415 26.0573 19.5274 277.62 14.8094 7.57023 
56 37.4158 62.5842 253.425 26.4848 20.0898 277.4 14.9518 7.64857 
57 36.5764 63.4236 252.419 26.915 20.6663 277.167 15.0994 7.73403 
58 35.7482 64.2518 251.395 27.3477 21.2569 276.921 15.2523 7.8268 
59 34.9315 65.0685 250.356 27.7827 21.8615 276.662 15.4106 7.92707 
60 34.1268 65.8732 249.3 28.2199 22.4801 276.391 15.5743 8.03503 
61 33.3345 66.6655 248.229 28.6591 23.1124 276.106 15.7436 8.15087 
62 32.555 67.445 247.141 29.1001 23.7584 275.807 15.9186 8.2748 
63 31.7888 68.2112 246.039 29.5428 24.4181 275.494 16.0993 8.40702 
64 31.0361 68.9639 244.922 29.9869 25.0912 275.166 16.2859 8.54774 
65 30.2974 69.7026 243.79 30.4324 25.7777 274.824 16.4785 8.69716 
66 29.573 70.427 242.644 30.879 26.4774 274.468 16.677 8.85551 
67 28.8632 71.1368 241.483 31.3266 27.1902 274.095 16.8815 9.023 
68 28.1682 71.8318 240.309 31.775 27.9159 273.708 17.0922 9.19986 
69 27.4884 72.5116 239.122 32.224 28.6542 273.305 17.309 9.38631 
70 26.824 73.176 237.921 32.6736 29.4052 272.885 17.532 9.58258 
71 26.1752 73.8248 236.708 33.1234 30.1685 272.45 17.7612 9.78892 
72 25.5422 74.4578 235.483 33.5735 30.9439 271.998 17.9967 10.0056 
73 24.9252 75.0748 234.245 34.0236 31.7314 271.529 18.2384 10.2327 
74 24.3243 75.6757 232.996 34.4736 32.5305 271.043 18.4864 10.4707 
75 23.7396 76.2604 231.735 34.9233 33.3412 270.54 18.7407 10.7197 
76 23.1712 76.8288 230.464 35.3726 34.1633 270.019 19.0013 10.9799 
77 22.6191 77.3809 229.182 35.8214 34.9963 269.48 19.2682 11.2517 
78 22.0835 77.9165 227.89 36.2696 35.8403 268.923 19.5413 11.5353 
79 21.5642 78.4358 226.588 36.7169 36.6949 268.348 19.8207 11.8309 
80 21.0614 78.9386 225.277 37.1633 37.5598 267.755 20.1063 12.1388 
81 20.5748 79.4252 223.956 37.6087 38.4348 267.143 20.398 12.4593 
82 20.1044 79.8956 222.627 38.0529 39.3197 266.512 20.6959 12.7925 
