### RESULTS 
### Printing All Results 
## Printing Variable Compartment time courses
## No Values.
## Printing Species time courses
#t x1 x2 x3 y1 y2 y3 
0 1 1 0.1 1 0.1 0.1 
1 0.914162 0.483765 0.0885379 0.791221 0.208381 0.0744025 
2 0.796231 0.304923 0.0775749 0.689586 0.190294 0.0700019 
3 0.703939 0.220161 0.0728239 0.62512 0.157172 0.0704756 
4 0.636012 0.169621 0.0722288 0.577627 0.129004 0.0731579 
5 0.584866 0.135633 0.0743666 0.540013 0.107248 0.0776105 
6 0.54478 0.111329 0.0785747 0.508855 0.0905302 0.0836987 
7 0.512024 0.0932564 0.0845515 0.482038 0.0775296 0.0913558 
8 0.484149 0.0794228 0.0921562 0.45811 0.0672797 0.10055 
9 0.459501 0.0686523 0.101321 0.436058 0.0591162 0.111251 
10 0.436945 0.0601325 0.112005 0.415141 0.0525355 0.123435 
11 0.415672 0.0533141 0.124163 0.394835 0.0472159 0.137038 
12 0.395118 0.0478274 0.137726 0.374784 0.0429038 0.15196 
13 0.374902 0.0433922 0.15259 0.354765 0.0394155 0.168058 
14 0.354785 0.0398141 0.168604 0.33467 0.0366201 0.18513 
15 0.334646 0.0369543 0.185569 0.314486 0.0344182 0.202933 
16 0.314465 0.0347063 0.203244 0.294276 0.0327356 0.221181 
17 0.294293 0.0329892 0.221349 0.274159 0.0315168 0.239568 
18 0.274238 0.031745 0.239583 0.25429 0.0307233 0.257777 
19 0.254446 0.0309341 0.257638 0.234842 0.0303309 0.2755 
20 0.235079 0.030531 0.275215 0.215986 0.0303275 0.292455 
21 0.216305 0.030523 0.292038 0.197886 0.0307117 0.308393 
22 0.19828 0.0309086 0.30786 0.180678 0.0314933 0.323109 
23 0.181137 0.031697 0.322477 0.16447 0.032692 0.336439 
24 0.164979 0.0329073 0.335732 0.149338 0.0343374 0.348266 
25 0.149878 0.0345693 0.347506 0.13532 0.0364696 0.358511 
26 0.135876 0.0367235 0.357716 0.122429 0.0391398 0.367126 
27 0.122986 0.0394208 0.36631 0.110651 0.0424097 0.374084 
28 0.1112 0.0427232 0.373256 0.0999553 0.0463513 0.379373 
29 0.100487 0.0467023 0.378538 0.0902989 0.0510464 0.382983 
30 0.090807 0.0514393 0.382145 0.081626 0.0565845 0.384913 
31 0.0821056 0.0570229 0.384072 0.0738743 0.0630611 0.385157 
32 0.074323 0.0635466 0.384314 0.0669789 0.0705729 0.38371 
33 0.0673958 0.0711056 0.382864 0.060875 0.0792137 0.380566 
34 0.0612601 0.0797902 0.379718 0.0554994 0.089066 0.375721 
35 0.0558533 0.0896791 0.374873 0.0507913 0.100193 0.36918 
36 0.0511157 0.100831 0.368338 0.046694 0.112628 0.360962 
37 0.0469913 0.113275 0.360135 0.0431561 0.126366 0.35111 
38 0.0434289 0.127002 0.350309 0.0401318 0.141356 0.339696 
39 0.0403825 0.141956 0.338938 0.0375802 0.157491 0.326828 
40 0.0378114 0.158028 0.326132 0.0354659 0.174608 0.312656 
41 0.0356804 0.175056 0.312041 0.0337593 0.19249 0.297369 
42 0.0339602 0.192823 0.296853 0.032437 0.210876 0.28119 
43 0.0326271 0.211074 0.28079 0.0314811 0.229469 0.264372 
44 0.0316634 0.229519 0.264098 0.03088 0.247959 0.24718 
45 0.0310574 0.247856 0.247038 0.030628 0.266037 0.229884 
46 0.0308039 0.265785 0.229872 0.0307266 0.283412 0.212739 
47 0.0309045 0.28302 0.21285 0.0311844 0.299822 0.195978 
48 0.0313682 0.299306 0.196201 0.0320182 0.315046 0.179804 
49 0.0322121 0.314424 0.180121 0.0332535 0.328906 0.164376 
50 0.0334613 0.328198 0.164771 0.0349239 0.341269 0.149819 
51 0.03515 0.340497 0.150271 0.037072 0.352045 0.136213 
52 0.0373209 0.351226 0.136706 0.0397496 0.361173 0.123608 
53 0.040026 0.360329 0.124119 0.0430179 0.368623 0.112018 
54 0.0433239 0.367764 0.11254 0.0469419 0.374375 0.101449 
55 0.0472815 0.373513 0.101967 0.0515936 0.378421 0.0918873 
56 0.0519803 0.377567 0.0923711 0.0570731 0.380768 0.0832625 
57 0.0575103 0.379918 0.0837089 0.0634894 0.381416 0.0754932 
58 0.0639703 0.380563 0.0759203 0.070935 0.380352 0.0685378 
59 0.0714597 0.379494 0.0689455 0.0794965 0.377564 0.0623598 
60 0.080064 0.376704 0.0627408 0.0892491 0.37305 0.0569149 
61 0.0898557 0.372193 0.0572619 0.100259 0.366822 0.0521358 
62 0.10089 0.365973 0.052456 0.112559 0.358907 0.0479688 
63 0.113197 0.358073 0.0482681 0.126145 0.34935 0.0443611 
64 0.126771 0.348542 0.0446426 0.140966 0.338217 0.0412812 
65 0.141557 0.337455 0.0415374 0.156919 0.325621 0.0386807 
66 0.157452 0.324922 0.0389119 0.173848 0.311714 0.0365201 
67 0.174293 0.311096 0.0367331 0.191539 0.296685 0.0347655 
68 0.191871 0.296164 0.0349693 0.209733 0.280755 0.033403 
69 0.209934 0.280346 0.0335986 0.228144 0.264167 0.0324183 
70 0.228201 0.263884 0.0326046 0.246468 0.247184 0.0317974 
71 0.246373 0.247032 0.0319768 0.264398 0.230074 0.03153 
72 0.264155 0.230051 0.0317078 0.281645 0.213091 0.0316161 
73 0.281264 0.213189 0.0317978 0.29795 0.196466 0.0320686 
74 0.297447 0.196673 0.0322563 0.313093 0.180399 0.0329044 
